order_id,customer_id,restaurant_id,partner_id,order_date,total_amount,payment_method,order_status
O00090,C0176,R0101,P0128,2023-08-30,440.0,UPI,Cancelled
O00091,C0925,R0146,P0094,2024-12-20,188.94,Wallet,Cancelled
O00092,C0757,R0150,P0083,2025-06-30,920.94,Wallet,Cancelled
O00093,C0011,R0377,P0062,2023-09-09,690.73,UPI,Returned
O00094,C0032,R0417,P0273,2024-07-10,1032.95,Wallet,Cancelled
O00095,C0613,R0303,P0002,2023-12-09,1266.71,Card,Returned
O00096,C0555,R0291,P0159,2024-09-06,1008.17,UPI,Returned
O00097,C0390,R0074,P0227,2025-03-07,417.51,Wallet,Delivered
O00098,C0094,R0219,P0230,2024-05-24,276.72,Card,Delivered
O00099,C0486,R0224,P0129,2025-05-06,395.07,Cash on Delivery,Returned
O00100,C0081,R0438,P0038,2024-07-29,153.4,Wallet,Returned
O00101,C0132,R0031,P0172,2024-04-09,185.47,Wallet,Delivered
O00102,C0155,R0259,P0288,2025-05-12,625.43,Cash on Delivery,Delivered
O00103,C0140,R0137,P0111,2024-11-16,994.0,Cash on Delivery,Delivered
O00104,C0240,R0208,P0142,2023-10-18,761.87,Card,Returned
O00105,C0797,R0319,P0136,2024-02-03,227.53,Cash on Delivery,Delivered
O00106,C0120,R0018,P0087,2023-11-07,590.19,Card,Delivered
O00107,C0841,R0099,P0222,2024-07-12,912.88,Cash on Delivery,Delivered
O00108,C0455,R0276,P0073,2024-12-10,1279.58,Wallet,Cancelled
O00109,C0250,R0264,P0046,2025-03-25,572.61,Wallet,Cancelled
O00110,C0909,R0379,P0143,2025-02-26,319.07,,Cancelled
O00111,C0202,R0357,P0277,2025-02-21,869.22,Wallet,Cancelled
O00112,C0236,R0416,P0239,2024-07-17,213.85,UPI,Cancelled
O00113,C0992,R0279,P0119,2023-12-12,1453.17,Card,Delivered
O00114,C0727,R0035,P0213,2024-12-27,1162.47,UPI,Returned
O00115,C0643,R0365,P0221,2024-05-08,864.13,Card,Returned
O00116,C0206,R0044,P0009,2024-12-31,1000.57,Card,Cancelled
O00117,C0457,R0342,P0194,2025-02-04,715.99,Card,Returned
O00118,C0601,R0125,P0081,2024-11-13,1276.33,Wallet,Delivered
O00119,C0447,R0211,P0140,2024-04-13,800.85,Wallet,Cancelled
O00120,C0302,R0226,P0005,2024-04-15,964.03,Cash on Delivery,Cancelled
O00121,C0341,R0069,P0049,2023-08-31,709.15,UPI,Returned
O00122,C0241,R0206,P0207,2023-11-28,359.72,Card,Returned
O00123,C0380,R0133,P0294,2025-03-23,355.36,UPI,Cancelled
O00124,C0644,R0141,P0255,2023-08-15,1280.82,Wallet,Cancelled
O00125,C0239,R0014,P0035,2025-02-16,731.63,Wallet,Delivered
O00126,C0322,R0389,P0191,2024-02-10,568.57,Wallet,Delivered
O00127,C0099,R0339,P0273,2023-09-27,1000.96,Cash on Delivery,Delivered
O00128,C0010,R0270,P0228,2023-11-29,623.3,UPI,Delivered
O00129,C0617,R0197,P0097,2025-05-23,876.92,UPI,Delivered
O00130,C0952,R0217,P0179,2025-01-19,774.27,Card,Delivered
O00131,C0032,R0130,P0092,2023-12-18,219.02,Card,Cancelled
O00132,C0899,R0234,P0047,2023-09-22,644.56,UPI,Delivered
O00133,C0367,R0056,P0281,2024-10-05,1453.88,Wallet,Delivered
O00134,C0990,R0456,P0136,2023-12-12,891.95,Wallet,Cancelled
O00135,C0760,R0026,P0054,2024-01-05,1013.63,Wallet,Cancelled
O00136,C0661,R0101,P0259,2024-06-11,512.7,Wallet,Returned
O00137,C0217,R0013,P0069,2025-06-08,650.24,Cash on Delivery,Returned
O00138,C0861,R0035,P0070,2024-12-19,339.14,Card,Delivered
O00139,C0339,R0332,P0054,2025-01-01,1161.38,Wallet,Delivered
O00140,C0660,R0018,P0077,2024-02-20,588.75,Wallet,Returned
O00141,C0368,R0195,P0135,2023-10-06,1143.28,UPI,Delivered
O00142,C0683,R0124,P0137,2023-10-14,684.38,Card,Returned
O00143,C0953,R0119,P0008,2024-06-29,528.32,Cash on Delivery,Delivered
O00144,C0993,R0441,P0252,2025-06-16,961.46,Card,Delivered
O00145,C0410,R0095,P0124,2024-07-06,409.5,Cash on Delivery,Delivered
O00146,C0054,R0266,P0172,2024-04-27,1268.72,Card,Delivered
O00147,C0471,R0421,P0101,2025-07-22,538.71,Wallet,Returned
O00148,C0843,R0347,P0181,2023-08-27,1168.87,Cash on Delivery,Delivered
O00149,C0848,R0157,P0118,2023-08-28,1088.66,Cash on Delivery,Returned
O00150,C0596,R0482,P0079,2024-05-25,720.89,Wallet,Delivered
O00151,C0051,R0033,P0056,2024-07-11,586.59,Card,Cancelled
O00152,C0473,R0075,P0098,2024-09-09,413.35,Card,Cancelled
O00153,C0048,R0492,P0256,2023-12-31,656.69,Card,Cancelled
O00154,C0486,R0350,P0246,2024-12-25,997.95,Wallet,Delivered
O00155,C0312,R0478,P0235,2023-11-01,1072.53,Card,Delivered
O00156,C0191,R0034,P0101,2024-03-30,637.48,Wallet,Cancelled
O00157,C0117,R0173,P0237,2024-05-23,1392.9,UPI,Returned
O00158,C0783,R0364,P0243,2025-03-12,1327.56,Wallet,Delivered
O00159,C0755,R0170,P0094,2024-09-25,1239.44,Wallet,Returned
O00160,C0746,R0068,P0276,2024-01-28,1183.1,UPI,Returned
O00161,C0339,R0295,P0197,2025-02-12,1448.61,UPI,Returned
O00162,C0094,R0338,P0225,2025-02-15,939.42,Cash on Delivery,Delivered
O00163,C0138,R0131,P0110,2025-03-12,1482.1,Cash on Delivery,Delivered
O00164,C0912,R0253,P0153,2024-10-14,464.8,Cash on Delivery,Cancelled
O00165,C0395,R0361,P0290,2023-11-25,639.26,Card,Cancelled
O00166,C0694,R0233,P0190,2024-09-26,379.57,Wallet,Delivered
O00167,C0122,R0337,P0129,2024-02-26,1186.03,Cash on Delivery,Delivered
O00168,C0850,R0326,P0252,2023-10-29,949.5,Cash on Delivery,Returned
O00169,C0536,R0394,P0091,2024-05-23,260.14,Cash on Delivery,Returned
O00170,C0060,R0424,P0232,2023-08-27,907.87,Card,Delivered
O00171,C0278,R0079,P0248,2024-06-21,844.51,Wallet,Delivered
O00172,C0832,R0170,P0026,2024-07-07,666.61,Wallet,Returned
O00173,C0111,R0470,P0297,2024-01-28,648.44,Wallet,Returned
O00174,C0354,R0172,P0244,2024-09-08,1254.98,Cash on Delivery,Cancelled
O00175,C0012,R0274,P0125,2024-08-24,285.41,Card,Delivered
O00176,C0057,R0154,P0166,2025-03-23,1060.44,UPI,Cancelled
O00177,C0542,R0385,P0177,2025-01-07,276.44,Cash on Delivery,Delivered
O00178,C0466,R0071,P0061,2025-07-24,1262.79,Wallet,Returned
O00179,C0949,R0077,P0123,2024-05-26,760.82,Cash on Delivery,Cancelled
O00180,C0039,R0326,P0065,2024-10-08,855.72,Card,Cancelled
O00181,C0069,R0219,P0071,2025-04-29,571.1,Wallet,Delivered
O00182,C0353,R0208,P0224,2024-11-07,664.09,UPI,Returned
O00183,C0727,R0438,P0240,2024-11-25,1089.71,Cash on Delivery,Returned
O00184,C0457,R0243,P0165,2023-12-24,277.5,Cash on Delivery,Cancelled
O00185,C0803,R0479,P0061,2024-01-18,1351.4,Wallet,Cancelled
O00186,C0001,R0007,P0037,2023-09-12,518.12,UPI,Cancelled
O00187,C0902,R0335,P0015,2024-09-28,387.24,Cash on Delivery,Delivered
O00188,C0481,R0310,P0051,2023-09-08,1080.58,Wallet,Cancelled
O00189,C0923,R0353,P0136,2024-10-01,1489.87,UPI,Cancelled
O00190,C0323,R0478,P0027,2024-02-27,593.46,UPI,Returned
O00191,C0682,R0066,P0112,2025-03-27,1018.54,UPI,Returned
O00192,C0207,R0224,P0249,2023-09-04,567.58,Cash on Delivery,Cancelled
O00193,C0466,R0402,P0179,2023-12-04,1217.7,Wallet,Delivered
O00194,C0873,R0170,P0122,2025-04-06,1165.03,Wallet,Returned
O00195,C0684,R0384,P0097,2024-05-12,1326.3,Wallet,Returned
O00196,C0510,R0421,P0159,2024-11-20,1046.68,Card,Cancelled
O00197,C0289,R0443,P0171,2024-03-04,337.54,Cash on Delivery,Delivered
O00198,C0246,R0463,P0280,2023-10-17,964.98,UPI,Delivered
O00199,C0253,R0203,P0019,2024-09-21,480.6,UPI,Returned
O00200,C0836,R0354,P0177,2024-02-24,862.34,Wallet,Returned
O00201,C0749,R0430,P0137,2023-12-07,1431.32,UPI,Returned
O00202,C0142,R0105,P0215,2024-03-29,1303.79,Wallet,Delivered
O00203,C0106,R0413,P0078,2023-09-07,472.55,UPI,Delivered
O00204,C0617,R0174,P0153,2023-11-14,659.61,UPI,Returned
O00205,C0374,R0006,P0114,2023-11-15,1131.25,Wallet,Returned
O00206,C0251,R0483,P0118,2024-04-09,550.41,Wallet,Delivered
O00207,C0016,R0016,P0079,2023-12-12,167.39,Cash on Delivery,Returned
O00208,C0712,R0176,P0035,2024-02-25,671.81,Card,Cancelled
O00209,C0001,R0120,P0253,2025-01-02,998.2,Cash on Delivery,Returned
O00210,C0207,R0277,P0209,2025-01-19,686.8,,Cancelled
O00211,C0062,R0009,P0226,2025-03-21,1435.42,Wallet,Returned
O00212,C0562,R0270,P0243,2025-04-11,223.47,UPI,Delivered
O00213,C0407,R0244,P0217,2025-05-25,1389.41,Card,Cancelled
O00214,C0026,R0336,P0013,2024-12-14,590.33,Wallet,Cancelled
O00215,C0685,R0342,P0104,2024-07-13,245.19,Card,Cancelled
O00216,C0765,R0396,P0193,2023-11-18,859.78,Cash on Delivery,Cancelled
O00217,C0896,R0286,P0223,2023-12-04,904.21,Cash on Delivery,Returned
O00218,C0106,R0274,P0120,2025-01-16,218.88,Card,Returned
O00219,C0127,R0334,P0022,2025-06-23,1410.86,Card,Cancelled
O00220,C0789,R0020,P0093,2023-08-23,1428.14,UPI,Delivered
O00221,C0044,R0398,P0272,2023-10-29,716.21,Cash on Delivery,Delivered
O00222,C0058,R0375,P0248,2025-04-02,690.31,Card,Returned
O00223,C0872,R0338,P0011,2024-01-21,1193.84,Wallet,Returned
O00224,C0686,R0057,P0004,2024-01-28,173.73,Card,Delivered
O00225,C0889,R0478,P0020,2024-11-12,947.06,UPI,Returned
O00226,C0998,R0317,P0020,2025-05-28,1372.85,Wallet,Cancelled
O00227,C0595,R0083,P0030,2024-07-26,493.46,Cash on Delivery,Cancelled
O00228,C0017,R0207,P0048,2023-11-12,1090.58,UPI,Delivered
O00229,C0334,R0089,P0018,2024-12-12,500.27,UPI,Cancelled
O00230,C0085,R0455,P0027,2025-01-29,1353.79,UPI,Cancelled
O00231,C0049,R0160,P0041,2024-02-25,967.9,Wallet,Cancelled
O00232,C0618,R0152,P0281,2024-05-17,1426.48,,Returned
O00233,C0533,R0295,P0211,2024-07-05,1193.04,Wallet,Cancelled
O00234,C0843,R0482,P0275,2024-04-18,1244.52,Card,Delivered
O00235,C0644,R0100,P0134,2023-12-23,341.32,Wallet,Cancelled
O00236,C0532,R0084,P0255,2024-02-25,539.02,Card,Cancelled
O00237,C0717,R0497,P0129,2024-07-16,644.47,Wallet,Returned
O00238,C0386,R0459,P0233,2025-06-12,228.94,Wallet,Delivered
O00239,C0738,R0230,P0220,2024-10-23,1321.85,Wallet,Delivered
O00240,C0303,R0120,P0028,2024-02-23,1442.21,Card,Returned
O00241,C0935,R0305,P0009,2024-11-05,483.92,Cash on Delivery,Cancelled
O00242,C0836,R0099,P0050,2025-04-05,1264.43,Cash on Delivery,Returned
O00243,C0085,R0391,P0113,2025-08-04,179.9,Card,Returned
O00244,C0274,R0227,P0168,2024-07-22,636.37,Card,Cancelled
O00245,C0956,R0442,P0168,2024-07-16,1187.47,Cash on Delivery,Returned
O00246,C0861,R0366,P0108,2024-10-26,228.88,Card,Cancelled
O00247,C0795,R0404,P0165,2025-04-28,1079.11,Cash on Delivery,Cancelled
O00248,C0618,R0063,P0149,2025-03-04,504.37,Wallet,Delivered
O00249,C0354,R0200,P0204,2025-04-27,1489.67,Wallet,Cancelled
O00250,C0282,R0196,P0166,2025-07-02,598.88,Wallet,Cancelled
O00251,C0877,R0072,P0245,2024-03-25,1044.51,Wallet,Returned
O00252,C0818,R0359,P0214,2024-04-28,1021.07,Cash on Delivery,Returned
O00253,C0491,R0141,P0030,2024-08-08,220.96,Cash on Delivery,Cancelled
O00254,C0486,R0110,P0227,2024-01-15,1312.96,Cash on Delivery,Delivered
O00255,C0679,R0351,P0045,2024-12-01,1135.41,Card,Cancelled
O00256,C0596,R0263,P0111,2024-09-20,536.4,UPI,Cancelled
O00257,C0702,R0195,P0235,2024-03-19,1369.17,Card,Delivered
O00258,C0655,R0461,P0158,2024-05-12,285.99,Card,Returned
O00259,C0468,R0358,P0145,2024-01-16,490.25,Card,Delivered
O00260,C0123,R0047,P0291,2025-06-15,391.46,UPI,Cancelled
O00261,C0133,R0258,P0292,2024-10-30,1243.27,Cash on Delivery,Delivered
O00262,C0416,R0082,P0277,2025-05-13,1201.19,Wallet,Cancelled
O00263,C0137,R0090,P0004,2023-08-30,170.47,Cash on Delivery,Delivered
O00264,C0108,R0059,P0148,2024-08-07,674.29,Cash on Delivery,Cancelled
O00265,C0093,R0417,P0039,2024-09-07,204.85,Wallet,Cancelled
O00266,C0278,R0332,P0260,2024-03-04,648.46,Wallet,Cancelled
O00267,C0669,R0450,P0266,2024-12-17,770.42,Wallet,Cancelled
O00268,C0672,R0441,P0046,2025-01-14,767.84,UPI,Returned
O00269,C0654,R0250,P0185,2023-11-30,259.7,Wallet,Cancelled
O00270,C0983,R0476,P0052,2024-01-27,776.34,Card,Returned
O00271,C0045,R0057,P0300,2024-10-04,488.32,Cash on Delivery,Delivered
O00272,C0262,R0013,P0063,2025-03-11,1113.17,UPI,Cancelled
O00273,C0369,R0280,P0231,2025-03-06,528.22,Cash on Delivery,Delivered
O00274,C0972,R0354,P0189,2024-10-02,1426.64,Wallet,Delivered
O00275,C0317,R0340,P0202,2024-06-17,485.83,Card,Returned
O00276,C0685,R0245,P0195,2025-04-09,1111.65,Wallet,Returned
O00277,C0386,R0339,P0033,2024-04-09,1376.62,Wallet,Cancelled
O00278,C0563,R0330,P0222,2025-04-19,500.11,UPI,Delivered
O00279,C0633,R0363,P0082,2024-09-19,247.14,Wallet,Cancelled
O00280,C0908,R0264,P0295,2025-07-10,810.7,Cash on Delivery,Cancelled
O00281,C0664,R0142,P0055,2024-02-09,538.51,Card,Cancelled
O00282,C0182,R0267,P0099,2024-05-26,610.45,Cash on Delivery,Returned
O00283,C0950,R0050,P0004,2024-04-09,700.85,Card,Delivered
O00284,C0900,R0288,P0121,2024-09-23,1195.15,Card,Returned
O00285,C0020,R0343,P0110,2023-09-14,962.38,Wallet,Cancelled
O00286,C0694,R0490,P0239,2025-02-10,1248.25,Wallet,Returned
O00287,C0591,R0187,P0080,2023-12-11,1462.89,Wallet,Delivered
O00288,C0015,R0234,P0128,2024-05-04,459.78,UPI,Returned
O00289,C0908,R0462,P0277,2024-10-21,755.72,Wallet,Cancelled
O00290,C0648,R0458,P0069,2024-01-26,500.93,UPI,Delivered
O00291,C0721,R0174,P0159,2025-02-15,1213.48,UPI,Delivered
O00292,C0782,R0205,P0071,2024-02-28,458.17,Wallet,Returned
O00293,C0591,R0412,P0154,2024-08-18,1290.66,Cash on Delivery,Delivered
O00294,C0480,R0010,P0085,2024-08-04,776.08,Card,Cancelled
O00295,C0433,R0364,P0070,2024-08-24,980.49,UPI,Delivered
O00296,C0767,R0069,P0195,2025-04-16,1340.25,,Delivered
O00297,C0335,R0415,P0015,2025-05-28,1343.34,Cash on Delivery,Delivered
O00298,C0368,R0046,P0167,2023-10-06,556.98,Cash on Delivery,Cancelled
O00299,C0899,R0079,P0203,2024-12-24,159.75,Cash on Delivery,Returned
O00300,C0091,R0185,P0130,2024-06-07,1165.71,Wallet,Returned
O00301,C0635,R0195,P0029,2024-10-06,1316.27,UPI,Cancelled
O00302,C0513,R0478,P0184,2025-05-31,1326.41,UPI,Delivered
O00303,C0274,R0073,P0077,2024-07-28,995.08,Wallet,Returned
O00304,C0144,R0120,P0031,2025-05-17,553.4,Wallet,Delivered
O00305,C0053,R0044,P0269,2023-12-18,1321.82,Cash on Delivery,Returned
O00306,C0627,R0462,P0109,2024-07-15,851.66,Card,Returned
O00307,C0289,R0004,P0092,2023-09-25,185.98,Wallet,Returned
O00308,C0792,R0295,P0220,2024-01-10,360.78,Cash on Delivery,Returned
O00309,C0964,R0404,P0197,2023-09-07,1156.93,UPI,Returned
O00310,C0384,R0002,P0252,2023-09-03,1071.65,UPI,Returned
O00311,C0917,R0481,P0001,2024-06-23,483.94,Card,Cancelled
O00312,C0933,R0249,P0252,2025-04-14,408.55,UPI,Cancelled
O00313,C0056,R0399,P0053,2025-06-05,688.98,Wallet,Cancelled
O00314,C0461,R0165,P0173,2025-02-08,1248.99,Wallet,Delivered
O00315,C0936,R0051,P0011,2025-06-20,846.99,UPI,Cancelled
O00316,C0682,R0269,P0031,2025-02-16,786.07,Card,Returned
O00317,C0012,R0102,P0280,2023-09-26,1064.71,Cash on Delivery,Returned
O00318,C0125,R0072,P0039,2024-02-03,335.84,Card,Cancelled
O00319,C0502,R0267,P0080,2025-03-08,505.93,Card,Cancelled
O00320,C0844,R0329,P0296,2024-01-26,1447.83,Cash on Delivery,Returned
O00321,C0879,R0083,P0276,2024-02-22,544.71,UPI,Returned
O00322,C0716,R0220,P0016,2024-03-31,537.59,Card,Returned
O00323,C0112,R0213,P0241,2024-07-11,907.39,Wallet,Cancelled
O00324,C0952,R0214,P0234,2025-01-30,642.62,Wallet,Cancelled
O00325,C0689,R0330,P0081,2023-11-07,1010.29,UPI,Returned
O00326,C0943,R0267,P0130,2023-11-13,1473.69,Wallet,Returned
O00327,C0491,R0350,P0264,2024-04-25,658.31,UPI,Returned
O00328,C0222,R0305,P0030,2023-10-14,1341.68,Wallet,Cancelled
O00329,C0144,R0426,P0219,2024-10-10,764.95,UPI,Delivered
O00330,C0651,R0194,P0108,2023-09-02,1322.42,Wallet,Cancelled
O00331,C0937,R0488,P0125,2023-11-10,688.82,Wallet,Delivered
O00332,C0260,R0179,P0065,2025-01-03,729.03,Card,Delivered
O00333,C0614,R0243,P0002,2024-05-02,1259.29,Card,Returned
O00334,C0314,R0304,P0273,2024-02-05,609.41,Cash on Delivery,Returned
O00335,C0046,R0061,P0181,2025-06-24,429.21,Cash on Delivery,Returned
O00336,C0753,R0348,P0253,2023-11-18,1341.09,UPI,Returned
O00337,C0902,R0157,P0269,2024-10-01,531.65,UPI,Delivered
O00338,C0785,R0365,P0167,2024-12-18,282.73,Card,Delivered
O00339,C0735,R0364,P0156,2025-03-22,1041.5,Card,Returned
O00340,C0467,R0444,P0068,2024-09-29,738.06,Cash on Delivery,Cancelled
O00341,C0531,R0374,P0252,2024-05-19,396.12,Cash on Delivery,Cancelled
O00342,C0821,R0029,P0176,2024-04-23,809.92,Cash on Delivery,Returned
O00343,C0547,R0350,P0297,2025-04-18,619.83,UPI,Delivered
O00344,C0340,R0376,P0288,2024-01-19,396.84,Cash on Delivery,Delivered
O00345,C0402,R0017,P0143,2023-11-12,622.34,Card,Delivered
O00346,C0078,R0235,P0275,2023-11-19,1172.13,Cash on Delivery,Cancelled
O00347,C0989,R0028,P0186,2023-09-04,824.61,Card,Delivered
O00348,C0886,R0368,P0032,2024-10-05,452.85,UPI,Delivered
O00349,C0710,R0414,P0082,2023-10-24,1163.19,UPI,Cancelled
O00350,C0001,R0466,P0190,2024-11-27,1155.92,Card,Delivered
O00351,C0159,R0106,P0129,2025-02-01,884.01,Card,Cancelled
O00352,C0368,R0419,P0047,2025-02-15,1434.89,Wallet,Returned
O00353,C0793,R0112,P0221,2024-02-02,984.06,Cash on Delivery,Returned
O00354,C0055,R0317,P0009,2024-08-09,330.15,Wallet,Cancelled
O00355,C0308,R0289,P0168,2024-01-07,1275.12,UPI,Returned
O00356,C0872,R0360,P0280,2023-09-21,200.62,Wallet,Returned
O00357,C0711,R0490,P0176,2025-07-20,1372.98,Wallet,Returned
O00358,C0830,R0227,P0096,2023-09-08,650.83,Card,Cancelled
O00359,C0784,R0064,P0299,2024-04-19,935.54,Card,Cancelled
O00360,C0921,R0102,P0163,2024-05-27,624.01,Cash on Delivery,Returned
O00361,C0630,R0276,P0296,2023-11-04,1353.97,Cash on Delivery,Delivered
O00362,C0441,R0264,P0199,2025-05-21,656.05,Wallet,Returned
O00363,C0820,R0333,P0163,2025-08-07,800.05,Wallet,Cancelled
O00364,C0128,R0242,P0042,2024-08-29,1358.67,Card,Returned
O00365,C0497,R0164,P0082,2025-06-28,1079.13,Wallet,Cancelled
O00366,C0928,R0388,P0074,2024-06-29,676.72,Card,Returned
O00367,C0830,R0182,P0291,2024-05-14,385.92,UPI,Delivered
O00368,C0746,R0035,P0238,2023-10-27,694.38,Cash on Delivery,Cancelled
O00369,C0695,R0089,P0244,2025-04-19,1026.73,Cash on Delivery,Cancelled
O00370,C0884,R0248,P0163,2024-03-14,1400.97,Cash on Delivery,Returned
