order_item_id,order_id,item_name,quantity,price
I00150,O00483,Biryani,2,97.86
I00151,O02561,Coke,4,249.62
I00152,O04326,Salad,2,220.33
I00153,O00739,Coke,3,342.28
I00154,O00898,Fries,5,446.1
I00155,O02785,Salad,1,361.28
I00156,O02800,Salad,1,195.68
I00157,O02753,Salad,4,232.08
I00158,O03560,Biryani,3,73.65
I00159,O00590,Biryani,5,202.51
I00160,O01996,Pasta,5,298.58
I00161,O03775,Salad,3,407.64
I00162,O03315,Salad,3,491.87
I00163,O03449,Ice Cream,4,270.0
I00164,O03445,Burger,5,71.57
I00165,O02369,Coke,3,99.68
I00166,O03491,Salad,4,248.14
I00167,O00478,Pizza,5,272.68
I00168,O01961,Burger,2,282.92
I00169,O04049,Pizza,5,181.84
I00170,O02148,Pizza,1,103.53
I00171,O02305,Burger,4,430.94
I00172,O04606,Pasta,2,338.18
I00173,O03594,Pizza,2,327.08
I00174,O00886,Pizza,2,368.08
I00175,O03066,Biryani,2,419.55
I00176,O00770,Ice Cream,3,91.62
I00177,O02547,Fries,2,353.07
I00178,O01689,Pizza,3,142.61
I00179,O03912,Biryani,5,485.88
I00180,O03574,Burger,5,132.47
I00181,O00453,Pizza,2,90.19
I00182,O04328,Biryani,3,185.63
I00183,O00021,Ice Cream,4,348.52
I00184,O00547,Biryani,1,144.77
I00185,O03831,Salad,3,257.06
I00186,O04605,Ice Cream,1,272.29
I00187,O03901,Salad,5,457.66
I00188,O00662,Burger,3,103.02
I00189,O03794,Burger,2,292.31
I00190,O03918,Coke,1,247.92
I00191,O03049,Pasta,2,263.21
I00192,O03332,Pizza,5,76.35
I00193,O03838,Pasta,1,136.54
I00194,O04934,Pizza,4,342.31
I00195,O02787,Pasta,1,451.3
I00196,O04026,Pizza,1,325.63
I00197,O01193,Burger,2,307.94
I00198,O03247,Ice Cream,2,184.51
I00199,O02806,Fries,2,349.82
I00200,O01194,Ice Cream,5,332.88
I00201,O01037,Coke,1,410.27
I00202,O04194,Ice Cream,2,66.69
I00203,O04597,Salad,2,180.36
I00204,O04084,Burger,3,351.9
I00205,O03184,Ice Cream,4,300.55
I00206,O01215,Pasta,2,497.9
I00207,O03823,Biryani,5,244.96
I00208,O01247,Fries,5,445.87
I00209,O03793,Pizza,1,404.97
I00210,O01852,Pizza,4,256.22
I00211,O04357,Pizza,2,488.58
I00212,O02761,Ice Cream,5,78.4
I00213,O03334,Salad,3,238.21
I00214,O03418,Salad,1,487.54
I00215,O04209,Biryani,3,118.04
I00216,O04288,Ice Cream,2,321.63
I00217,O00425,Salad,1,470.38
I00218,O04982,Pizza,2,258.04
I00219,O01825,Coke,5,440.65
I00220,O03609,Burger,1,302.25
I00221,O00507,Pasta,4,103.81
I00222,O02783,Fries,2,85.16
I00223,O04923,Ice Cream,1,281.48
I00224,O00285,Biryani,4,311.03
I00225,O00388,Biryani,1,316.35
I00226,O03567,Burger,3,95.72
I00227,O03730,Biryani,5,64.95
I00228,O03574,Pizza,5,401.89
I00229,O04869,Pizza,3,55.86
I00230,O01439,Fries,2,85.19
I00231,O03843,Fries,1,370.89
I00232,O03289,Salad,1,348.03
I00233,O03669,Coke,3,151.56
I00234,O01307,Burger,1,130.4
I00235,O01743,Ice Cream,3,308.27
I00236,O00181,Salad,3,455.61
I00237,O01228,Coke,4,359.0
I00238,O01555,Pizza,1,106.44
I00239,O02037,Pizza,4,172.34
I00240,O04708,Salad,4,229.56
I00241,O03222,Coke,1,366.28
I00242,O04229,Pasta,2,354.0
I00243,O01695,Biryani,5,379.76
I00244,O03407,Burger,4,58.57
I00245,O02950,Burger,5,61.21
I00246,O01923,Fries,3,396.02
I00247,O00357,Burger,3,131.5
I00248,O00402,Burger,4,61.26
I00249,O00081,Pasta,4,146.55
I00250,O04347,Coke,2,202.56
I00251,O03795,Ice Cream,4,495.51
I00252,O03005,Fries,3,183.36
I00253,O04921,Ice Cream,2,278.88
I00254,O01433,Biryani,5,124.54
I00255,O03786,Biryani,3,499.89
I00256,O01705,Pizza,3,131.79
I00257,O04827,Burger,2,124.21
I00258,O03730,Biryani,4,377.76
I00259,O00897,Salad,1,464.17
I00260,O02758,Coke,3,464.86
I00261,O04230,Coke,2,317.86
I00262,O01076,Ice Cream,2,59.21
I00263,O03961,Pizza,5,115.34
I00264,O04723,Coke,2,367.92
I00265,O04728,Burger,1,115.26
I00266,O04148,Salad,2,486.91
I00267,O01290,Pasta,5,447.11
I00268,O03526,Biryani,1,418.27
I00269,O03268,Pasta,2,303.5
I00270,O04082,Ice Cream,4,445.34
I00271,O04914,Coke,5,97.97
I00272,O02161,Biryani,1,490.33
I00273,O01796,Biryani,2,320.02
I00274,O00793,Burger,2,218.99
I00275,O03183,Fries,1,224.65
I00276,O00174,Coke,3,77.34
I00277,O02504,Ice Cream,4,431.7
I00278,O02148,Biryani,3,268.98
I00279,O01745,Salad,4,123.58
I00280,O00054,Ice Cream,2,354.23
I00281,O04188,Coke,5,404.79
I00282,O01232,Pizza,3,366.44
I00283,O00962,Pizza,1,61.66
I00284,O03061,Biryani,2,462.21
I00285,O00296,Pasta,3,195.78
I00286,O02231,Ice Cream,5,143.87
I00287,O02641,Pasta,4,305.41
I00288,O04959,Biryani,5,73.78
I00289,O03885,Salad,2,168.04
I00290,O02181,Pasta,1,87.12
I00291,O01359,Fries,1,137.17
I00292,O01591,Coke,2,232.53
I00293,O01152,Fries,2,272.16
I00294,O02548,Ice Cream,5,158.99
I00295,O04759,Pizza,2,399.98
I00296,O04133,Coke,3,309.61
I00297,O01422,Biryani,1,201.02
I00298,O02086,Salad,2,67.72
I00299,O03969,Fries,5,447.46
I00300,O03480,Salad,3,175.13
I00301,O03888,Fries,3,313.96
I00302,O03250,Biryani,5,342.08
I00303,O02308,Pasta,3,54.62
I00304,O01982,Burger,4,325.89
I00305,O02954,Salad,5,445.32
I00306,O04243,Salad,4,138.83
I00307,O00108,Pizza,4,232.86
I00308,O04109,Ice Cream,2,229.8
I00309,O00033,Pasta,5,220.82
I00310,O04989,Pizza,3,61.25
I00311,O02106,Burger,1,456.6
I00312,O02406,Ice Cream,3,390.36
I00313,O02374,Coke,2,198.77
I00314,O03072,Burger,1,73.85
I00315,O01329,Burger,3,231.64
I00316,O01234,Pizza,5,136.96
I00317,O00643,Burger,5,267.91
I00318,O00804,Ice Cream,2,478.81
I00319,O01219,Fries,2,185.7
I00320,O02123,Pizza,1,302.23
I00321,O04395,Pizza,1,319.52
I00322,O01102,Pizza,3,77.43
I00323,O04016,Salad,4,207.35
I00324,O01763,Pizza,4,223.95
I00325,O04769,Fries,1,380.32
I00326,O04379,Ice Cream,1,75.13
I00327,O04529,Fries,2,384.89
I00328,O01411,Coke,5,230.5
I00329,O02585,Biryani,2,225.09
I00330,O02189,Pasta,1,448.1
I00331,O01355,Coke,3,269.67
I00332,O02571,Biryani,1,289.41
I00333,O04983,Salad,3,116.16
I00334,O04229,Salad,4,273.02
I00335,O02876,Burger,5,63.29
I00336,O00069,Biryani,1,420.36
I00337,O02397,Pizza,5,126.02
I00338,O04877,Burger,2,189.34
I00339,O01016,Biryani,3,126.89
I00340,O00362,Fries,2,302.64
I00341,O02209,Burger,3,463.5
I00342,O03289,Fries,1,132.08
I00343,O03451,Coke,2,398.0
I00344,O03747,Ice Cream,1,154.22
I00345,O03168,Burger,2,278.36
I00346,O00466,Pizza,3,258.26
I00347,O02192,Pasta,4,251.98
I00348,O00288,Pasta,5,228.15
I00349,O01044,Burger,5,312.85
I00350,O00929,Burger,2,171.73
I00351,O04634,Ice Cream,2,219.06
I00352,O00178,Pasta,1,68.15
I00353,O00425,Pizza,2,447.29
I00354,O04962,Ice Cream,3,101.1
I00355,O04881,Coke,1,319.03
I00356,O01032,Burger,5,145.74
I00357,O01240,Biryani,3,474.06
I00358,O01608,Salad,5,103.32
I00359,O04000,Ice Cream,4,110.66
I00360,O01791,Biryani,5,237.75
I00361,O01465,Coke,4,370.62
I00362,O01581,Pizza,2,461.01
I00363,O03998,Pasta,4,185.18
I00364,O02643,Ice Cream,4,75.69
I00365,O04544,Ice Cream,5,105.7
I00366,O01181,Salad,2,268.84
I00367,O01966,Salad,4,60.07
I00368,O01778,Coke,5,362.31
I00369,O01420,Biryani,3,258.88
I00370,O02516,Pasta,3,169.91
I00371,O01764,Biryani,3,106.16
I00372,O00142,Pasta,5,287.09
I00373,O02301,Pizza,4,174.45
I00374,O01772,Coke,3,315.81
I00375,O02636,Fries,1,193.28
I00376,O04611,Fries,2,177.56
I00377,O03515,Burger,1,394.21
I00378,O01663,Fries,3,193.16
I00379,O01736,Coke,2,277.87
I00380,O03319,Biryani,1,226.25
I00381,O01071,Biryani,2,294.15
I00382,O03929,Pasta,5,82.82
I00383,O02793,Biryani,1,381.19
I00384,O00470,Pizza,2,299.88
I00385,O04809,Salad,2,497.67
I00386,O02623,Pasta,5,221.22
I00387,O03495,Pizza,2,195.18
I00388,O04805,Coke,2,195.17
I00389,O01511,Fries,4,193.39
I00390,O02934,Pizza,1,58.16
I00391,O02347,Burger,4,326.76
I00392,O01680,Salad,1,135.16
I00393,O01551,Pasta,5,264.82
I00394,O00746,Biryani,4,410.95
I00395,O01838,Pizza,4,247.54
I00396,O02992,Ice Cream,4,236.94
I00397,O00489,Coke,2,441.85
I00398,O02826,Pizza,3,267.65
I00399,O02723,Ice Cream,5,350.25
I00400,O00308,Pasta,4,321.61
I00401,O04819,Pizza,1,429.08
I00402,O01558,Pizza,3,431.12
I00403,O00334,Pizza,3,247.73
I00404,O00017,Coke,5,183.45
I00405,O02862,Ice Cream,5,466.31
I00406,O04058,Salad,1,447.54
I00407,O04044,Coke,1,484.56
I00408,O02481,Pasta,1,494.79
I00409,O04999,Burger,1,409.13
I00410,O01199,Ice Cream,4,407.0
I00411,O03981,Pizza,4,172.06
I00412,O02849,Pizza,2,243.6
I00413,O00061,Fries,1,226.84
I00414,O03996,Fries,5,110.98
I00415,O01625,Coke,1,221.54
I00416,O02760,Salad,1,80.8
I00417,O00032,Pasta,3,415.61
I00418,O01107,Pasta,2,325.82
I00419,O03285,Biryani,2,241.02
I00420,O01806,Burger,2,364.06
I00421,O02953,Pizza,5,179.09
I00422,O03337,Burger,5,218.05
I00423,O01013,Pizza,5,300.67
I00424,O03103,Ice Cream,5,393.54
I00425,O04555,Pizza,5,281.2
I00426,O02676,Biryani,4,327.54
I00427,O01861,Coke,2,270.35
I00428,O04168,Fries,3,357.26
I00429,O03482,Pasta,4,306.15
I00430,O04816,Fries,5,376.8
I00431,O00916,Salad,5,214.16
I00432,O02884,Coke,2,298.09
I00433,O03979,Salad,5,477.3
I00434,O01297,Salad,3,197.4
I00435,O03966,Coke,1,286.33
I00436,O00146,Coke,2,352.69
I00437,O04651,Coke,1,267.64
I00438,O04505,Salad,3,80.76
I00439,O00498,Pizza,5,88.83
I00440,O03127,Fries,5,462.9
I00441,O02236,Salad,1,327.15
I00442,O03774,Fries,1,405.88
I00443,O04379,Coke,2,476.49
I00444,O00336,Biryani,4,57.59
I00445,O00018,Pizza,2,333.73
I00446,O04992,Pasta,3,337.06
I00447,O00683,Burger,5,53.92
I00448,O03946,Pasta,5,122.37
I00449,O04463,Biryani,5,445.08
I00450,O04301,Pasta,2,261.86
I00451,O03407,Salad,5,57.21
I00452,O01517,Ice Cream,1,244.84
I00453,O03481,Coke,2,113.71
I00454,O00824,Burger,2,161.72
I00455,O03982,Coke,5,180.33
I00456,O01395,Ice Cream,1,194.45
I00457,O02409,Coke,5,205.61
I00458,O00638,Fries,2,125.31
I00459,O03500,Ice Cream,2,83.18
I00460,O02511,Burger,5,394.13
I00461,O04611,Burger,2,102.4
I00462,O04777,Ice Cream,5,316.5
I00463,O02141,Ice Cream,5,467.87
I00464,O00561,Salad,3,298.96
I00465,O02796,Fries,3,175.61
I00466,O00754,Pasta,2,146.34
I00467,O04470,Fries,5,95.75
I00468,O04181,Ice Cream,2,418.25
I00469,O01944,Fries,4,70.19
I00470,O04303,Pasta,2,54.54
I00471,O00432,Coke,3,477.19
I00472,O03646,Pizza,3,129.72
I00473,O02942,Fries,4,247.1
I00474,O00418,Pizza,4,241.1
I00475,O04664,Burger,2,417.06
I00476,O04140,Ice Cream,5,293.81
I00477,O03947,Ice Cream,5,466.52
I00478,O02107,Salad,2,129.03
I00479,O04126,Pasta,3,476.62
I00480,O01693,Fries,2,343.61
I00481,O00280,Biryani,1,286.52
I00482,O04493,Fries,1,118.57
I00483,O03657,Coke,1,347.1
I00484,O02127,Fries,2,99.42
I00485,O01526,Coke,1,497.87
I00486,O04765,Burger,5,463.14
I00487,O02792,Salad,5,400.53
I00488,O01466,Biryani,1,310.24
I00489,O04426,Burger,5,317.88
I00490,O03140,Salad,5,76.76
I00491,O02632,Biryani,2,118.3
I00492,O03469,Pizza,5,425.75
I00493,O03614,Salad,2,329.69
I00494,O03697,Salad,5,337.2
I00495,O04069,Biryani,3,53.24
I00496,O01057,Ice Cream,5,407.75
I00497,O04226,Pasta,3,135.85
I00498,O03593,Coke,2,183.3
I00499,O04953,Fries,2,276.93
I00500,O04783,Ice Cream,1,310.05
I00501,O01609,Salad,2,317.11
I00502,O01151,Burger,3,391.78
I00503,O03736,Pasta,3,491.73
I00504,O01076,Ice Cream,4,409.3
I00505,O02768,Coke,1,173.08
I00506,O03584,Salad,2,226.29
I00507,O02192,Coke,2,286.31
I00508,O01357,Biryani,4,215.34
I00509,O04693,Burger,1,430.25
I00510,O04515,Pasta,5,384.04
I00511,O01226,Salad,5,171.51
I00512,O04912,Burger,2,331.37
I00513,O01651,Fries,2,399.75
I00514,O02478,Fries,3,272.94
I00515,O02835,Coke,2,63.09
I00516,O03508,Coke,1,159.05
I00517,O02535,Pasta,5,381.94
I00518,O01277,Ice Cream,4,227.37
I00519,O02772,Coke,2,476.79
I00520,O04174,Ice Cream,2,396.92
I00521,O01288,Ice Cream,2,92.93
I00522,O00624,Biryani,5,477.97
I00523,O02282,Salad,2,204.05
I00524,O02353,Coke,3,172.95
I00525,O03077,Fries,5,195.99
I00526,O01404,Biryani,4,357.02
I00527,O04270,Burger,4,372.6
I00528,O02471,Pizza,5,88.45
I00529,O04694,Burger,2,372.17
I00530,O01990,Ice Cream,5,209.44
I00531,O02098,Pizza,1,196.85
I00532,O03808,Pasta,2,284.35
I00533,O01792,Coke,4,259.57
I00534,O01855,Pizza,5,392.48
I00535,O01723,Pizza,4,230.54
I00536,O03561,Biryani,4,96.9
I00537,O01540,Coke,2,208.54
I00538,O02046,Burger,3,274.36
I00539,O00245,Biryani,3,493.91
I00540,O04291,Pizza,1,304.93
I00541,O02736,Biryani,1,109.44
I00542,O04630,Pasta,1,371.83
I00543,O02117,Biryani,3,321.49
I00544,O01543,Biryani,4,456.46
I00545,O03755,Biryani,4,122.63
I00546,O04895,Coke,2,452.62
I00547,O03420,Pasta,1,394.14
I00548,O04182,Pasta,1,241.55
I00549,O03628,Coke,2,53.81
I00550,O01054,Pasta,5,252.68
I00551,O04320,Coke,1,365.35
I00552,O04027,Pizza,3,76.75
I00553,O03603,Biryani,5,476.55
I00554,O04040,Pizza,3,297.12
I00555,O01472,Coke,2,358.13
I00556,O02939,Salad,1,280.26
I00557,O02279,Pizza,1,263.72
I00558,O00021,Coke,3,123.86
I00559,O01427,Coke,4,51.68
I00560,O03270,Coke,1,145.36
I00561,O03256,Pasta,1,192.97
I00562,O03099,Ice Cream,2,245.67
I00563,O04448,Coke,2,81.66
I00564,O02006,Salad,5,271.33
I00565,O00052,Pasta,1,92.63
I00566,O00206,Salad,3,86.46
I00567,O02471,Salad,4,422.7
I00568,O01490,Biryani,1,155.3
I00569,O00557,Pizza,4,435.59
I00570,O02853,Biryani,1,336.75
I00571,O01494,Pizza,4,290.91
I00572,O03615,Ice Cream,4,172.94
I00573,O03150,Coke,4,447.2
I00574,O01857,Ice Cream,2,417.2
I00575,O04680,Salad,1,488.75
I00576,O03990,Pasta,1,418.79
I00577,O02655,Salad,4,380.64
I00578,O02807,Salad,3,397.62
I00579,O03166,Biryani,5,207.97
I00580,O01865,Ice Cream,5,231.55
I00581,O03448,Ice Cream,2,188.28
I00582,O01016,Salad,2,304.36
I00583,O03860,Biryani,4,423.72
I00584,O03328,Pasta,1,298.42
I00585,O02789,Coke,5,162.51
I00586,O03422,Salad,2,175.46
I00587,O00331,Pasta,5,489.61
I00588,O03882,Ice Cream,2,368.56
I00589,O02400,Pasta,1,395.82
I00590,O01182,Coke,1,455.35
I00591,O01331,Fries,1,311.5
I00592,O01750,Fries,1,143.99
I00593,O01210,Coke,4,184.05
I00594,O01506,Pizza,5,381.58
I00595,O01710,Burger,3,264.59
I00596,O02435,Salad,3,190.99
I00597,O01783,Pasta,2,466.42
I00598,O01009,Pasta,2,117.86
I00599,O02627,Pasta,4,343.77
I00600,O02527,Burger,5,423.48
I00601,O00532,Burger,1,252.14
I00602,O01702,Fries,4,253.46
I00603,O04478,Fries,5,156.77
I00604,O02828,Burger,5,192.23
I00605,O02932,Pasta,1,315.13
I00606,O04025,Fries,1,196.48
I00607,O02009,Coke,3,149.05
I00608,O02886,Burger,5,135.26
I00609,O00402,Coke,5,382.13
I00610,O00139,Fries,4,189.52
I00611,O04572,Burger,1,212.58
I00612,O03495,Coke,1,493.66
I00613,O01655,Fries,4,97.04
I00614,O00368,Salad,2,71.24
I00615,O04540,Pasta,1,181.44
I00616,O01140,Salad,5,374.1
I00617,O04502,Salad,3,226.63
I00618,O03094,Burger,1,347.89
I00619,O02706,Burger,4,488.85
I00620,O01647,Fries,2,95.22
I00621,O03089,Biryani,1,376.18
I00622,O00020,Coke,3,391.1
I00623,O03276,Pasta,2,127.69
I00624,O00831,Burger,5,234.22
I00625,O04153,Ice Cream,3,216.58
I00626,O02608,Salad,2,102.74
I00627,O04425,Biryani,4,245.7
I00628,O02389,Pizza,1,163.21
I00629,O00847,Pasta,4,324.35
I00630,O01869,Pasta,2,60.81
I00631,O01020,Burger,2,73.35
I00632,O02100,Pizza,4,50.55
I00633,O00092,Pizza,3,434.26
I00634,O02613,Ice Cream,1,108.0
I00635,O03342,Pasta,5,352.57
I00636,O00498,Pizza,2,298.91
I00637,O01801,Ice Cream,3,235.71
I00638,O01603,Ice Cream,5,190.17
I00639,O01590,Salad,1,161.65
I00640,O04083,Pizza,3,213.15
I00641,O03272,Pasta,1,184.5
I00642,O01781,Fries,2,407.91
I00643,O03765,Pizza,2,468.46
I00644,O04968,Fries,2,52.34
I00645,O04738,Pizza,1,435.31
I00646,O03691,Pasta,5,112.11
I00647,O04584,Pizza,4,120.83
I00648,O03715,Ice Cream,2,88.49
I00649,O02785,Fries,4,484.29
I00650,O00610,Pasta,4,164.94
I00651,O02876,Pasta,2,369.73
I00652,O04683,Burger,5,354.94
I00653,O00668,Biryani,3,269.21
I00654,O03788,Pizza,5,244.77
I00655,O03053,Fries,1,201.61
I00656,O03892,Pasta,4,156.74
I00657,O04991,Fries,4,220.34
I00658,O01903,Burger,5,133.05
I00659,O03274,Pasta,5,136.14
I00660,O03763,Burger,4,231.77
I00661,O04133,Pasta,1,210.63
I00662,O00384,Fries,2,307.9
I00663,O01316,Fries,1,318.19
I00664,O02571,Pasta,4,366.66
I00665,O04446,Burger,4,356.98
I00666,O02397,Coke,3,482.69
I00667,O04406,Fries,4,127.09
I00668,O04583,Burger,4,180.73
I00669,O00046,Pasta,3,398.89
I00670,O02430,Fries,3,159.96
I00671,O00759,Coke,3,249.52
I00672,O00410,Pasta,1,149.32
I00673,O03497,Pizza,4,327.26
I00674,O03748,Salad,3,244.93
I00675,O03977,Salad,2,355.66
I00676,O01792,Biryani,5,106.54
I00677,O00479,Salad,4,113.46
I00678,O04910,Pizza,4,406.62
I00679,O01719,Pasta,1,466.85
I00680,O02851,Burger,4,170.26
I00681,O03818,Pasta,5,255.78
I00682,O03270,Ice Cream,3,296.04
I00683,O00732,Ice Cream,1,71.34
I00684,O00549,Biryani,5,149.64
I00685,O03872,Pizza,2,292.72
I00686,O00361,Biryani,4,113.39
I00687,O00708,Fries,5,314.14
I00688,O02589,Fries,2,403.63
I00689,O01984,Coke,4,482.28
I00690,O00464,Pizza,1,389.3
I00691,O00784,Biryani,4,385.82
I00692,O01339,Pizza,1,393.53
I00693,O02286,Biryani,1,126.32
I00694,O03475,Burger,2,260.4
I00695,O03494,Pizza,1,133.57
I00696,O01999,Salad,1,274.24
I00697,O01487,Biryani,5,189.64
I00698,O04991,Burger,4,427.59
I00699,O01722,Coke,3,313.41
I00700,O01748,Ice Cream,3,292.41
I00701,O00607,Fries,4,273.51
I00702,O03367,Burger,1,247.13
I00703,O00544,Biryani,5,53.38
I00704,O01910,Biryani,4,250.86
I00705,O03907,Burger,5,130.37
I00706,O02400,Pasta,1,187.08
I00707,O00600,Ice Cream,2,111.22
I00708,O02683,Ice Cream,3,62.34
I00709,O00533,Burger,4,445.09
I00710,O01137,Burger,1,248.33
I00711,O04635,Burger,3,251.75
I00712,O03113,Ice Cream,2,66.46
I00713,O00094,Biryani,2,82.49
I00714,O04735,Coke,3,170.01
I00715,O01452,Coke,2,458.93
I00716,O00051,Biryani,5,225.07
I00717,O04293,Ice Cream,4,104.55
I00718,O03417,Pasta,4,369.6
I00719,O02267,Pizza,2,437.36
I00720,O04895,Ice Cream,5,331.39
I00721,O04879,Coke,5,194.17
I00722,O00508,Coke,1,362.12
I00723,O02803,Coke,2,208.16
I00724,O01457,Fries,2,308.75
I00725,O04058,Biryani,3,369.57
I00726,O01683,Pizza,1,290.14
I00727,O03619,Pizza,2,219.55
I00728,O04788,Fries,1,412.67
I00729,O00095,Ice Cream,5,438.19
I00730,O03204,Salad,3,124.53
I00731,O01712,Pizza,4,340.95
I00732,O01644,Fries,3,162.44
I00733,O03005,Biryani,2,355.69
I00734,O00211,Biryani,4,75.46
I00735,O03053,Ice Cream,4,160.4
I00736,O00195,Pasta,3,272.94
I00737,O04747,Pizza,1,110.75
I00738,O03511,Biryani,4,467.63
I00739,O00616,Pasta,3,342.55
I00740,O00774,Fries,4,127.06
I00741,O04100,Biryani,1,399.37
I00742,O03472,Pasta,4,163.76
I00743,O04900,Salad,4,445.3
I00744,O03774,Salad,5,354.49
